id_customer,nama,email
1,Customer_1,cust1@yahoo.com
2,Customer_2,cust2@gmail.com
3,Customer_3,cust3@gmail.com
4,Customer_4,cust4@outlook.com
5,Customer_5,cust5@gmail.com
6,Customer_6,cust6@gmail.com
7,Customer_7,cust7@yahoo.com
8,Customer_8,cust8@outlook.com
9,Customer_9,cust9@outlook.com
10,Customer_10,cust10@yahoo.com
11,Customer_11,cust11@yahoo.com
12,Customer_12,cust12@yahoo.com
13,Customer_13,cust13@outlook.com
14,Customer_14,cust14yahoo.com
15,Customer_15,cust15@outlook.com
16,Customer_16,cust16@outlook.com
17,Customer_17,cust17@yahoo.com
18,Customer_18,cust18@yahoo.com
19,Customer_19,cust19@yahoo.com
20,Customer_20,cust20@outlook.com
21,Customer_21,cust21@outlook.com
22,Customer_22,cust22@gmail.com
23,Customer_23,cust23@outlook.com
24,Customer_24,cust24@gmail.com
25,Customer_25,
26,Customer_26,cust26@outlook.com
27,Customer_27,cust27@outlook.com
28,Customer_28,cust28yahoo.com
29,Customer_29,cust29@yahoo.com
30,Customer_30,cust30@outlook.com
31,Customer_31,cust31@outlook.com
32,Customer_32,cust32@yahoo.com
33,Customer_33,cust33@gmail.com
34,Customer_34,cust34@outlook.com
35,Customer_35,cust35@gmail.com
36,Customer_36,cust36@yahoo.com
37,Customer_37,cust37@outlook.com
38,Customer_38,cust38@gmail.com
39,Customer_39,cust39@outlook.com
40,Customer_40,cust40@gmail.com
41,Customer_41,cust41@yahoo.com
42,Customer_42,cust42gmail.com
43,Customer_43,cust43@outlook.com
44,Customer_44,cust44@yahoo.com
45,Customer_45,cust45@outlook.com
46,Customer_46,cust46@gmail.com
47,Customer_47,cust47@outlook.com
48,Customer_48,cust48@gmail.com
49,Customer_49,cust49@gmail.com
50,Customer_50,
51,Customer_51,cust51@outlook.com
52,Customer_52,cust52@yahoo.com
53,Customer_53,cust53@yahoo.com
54,Customer_54,cust54@gmail.com
55,Customer_55,cust55@outlook.com
56,Customer_56,cust56gmail.com
57,Customer_57,cust57@outlook.com
58,Customer_58,cust58@outlook.com
59,Customer_59,cust59@yahoo.com
60,Customer_60,cust60@gmail.com
61,Customer_61,cust61@outlook.com
62,Customer_62,cust62@outlook.com
63,Customer_63,cust63@yahoo.com
64,Customer_64,cust64@yahoo.com
65,Customer_65,cust65@gmail.com
66,Customer_66,cust66@outlook.com
