id_customer,nama,email,status_member
1,Customer_1,user1@email.com,No
2,Customer_2,user2@email.com,No
3,Customer_3,user3@email.com,Yes
4,Customer_4,user4@email.com,Yes
5,Customer_5,user5@email.com,No
6,Customer_6,user6@email.com,Yes
7,Customer_7,user7@email.com,Yes
8,Customer_8,user8@email.com,Yes
9,Customer_9,user9@email.com,No
10,Customer_10,user10@email.com,No
11,Customer_11,user11@email.com,No
12,Customer_12,user12email.com,Yes
13,Customer_13,user13@email.com,Yes
14,Customer_14,user14@email.com,No
15,Customer_15,user15@email.com,No
16,Customer_16,user16@email.com,No
17,Customer_17,user17@email.com,Unknown
18,Customer_18,user18@email.com,Yes
19,Customer_19,user19@email.com,Yes
20,Customer_20,,Yes
21,Customer_21,user21@email.com,No
22,Customer_22,user22@email.com,Yes
23,Customer_23,user23@email.com,Yes
24,Customer_24,user24email.com,No
25,Customer_25,user25@email.com,Yes
26,Customer_26,user26@email.com,Yes
27,Customer_27,user27@email.com,Yes
28,Customer_28,user28@email.com,No
29,Customer_29,user29@email.com,No
30,Customer_30,user30@email.com,No
31,Customer_31,user31@email.com,No
32,Customer_32,user32@email.com,Yes
33,Customer_33,user33@email.com,No
34,Customer_34,user34@email.com,Unknown
35,Customer_35,user35@email.com,No
36,Customer_36,user36email.com,No
37,Customer_37,user37@email.com,No
38,Customer_38,user38@email.com,No
39,Customer_39,user39@email.com,No
40,Customer_40,,No
41,Customer_41,user41@email.com,No
42,Customer_42,user42@email.com,Yes
43,Customer_43,user43@email.com,Yes
44,Customer_44,user44@email.com,No
45,Customer_45,user45@email.com,Yes
46,Customer_46,user46@email.com,No
47,Customer_47,user47@email.com,Yes
48,Customer_48,user48email.com,No
49,Customer_49,user49@email.com,No
50,Customer_50,user50@email.com,No
51,Customer_51,user51@email.com,Unknown
52,Customer_52,user52@email.com,No
53,Customer_53,user53@email.com,Yes
54,Customer_54,user54@email.com,Yes
55,Customer_55,user55@email.com,No
56,Customer_56,user56@email.com,Yes
57,Customer_57,user57@email.com,Yes
58,Customer_58,user58@email.com,No
59,Customer_59,user59@email.com,No
60,Customer_60,,No
61,Customer_61,user61@email.com,No
62,Customer_62,user62@email.com,Yes
63,Customer_63,user63@email.com,No
64,Customer_64,user64@email.com,Yes
65,Customer_65,user65@email.com,No
66,Customer_66,user66@email.com,No
67,Customer_67,user67@email.com,Yes
68,Customer_68,user68@email.com,Unknown
69,Customer_69,user69@email.com,Yes
70,Customer_70,user70@email.com,Yes
71,Customer_71,user71@email.com,No
72,Customer_72,user72email.com,No
73,Customer_73,user73@email.com,No
74,Customer_74,user74@email.com,Yes
75,Customer_75,user75@email.com,No
76,Customer_76,user76@email.com,No
77,Customer_77,user77@email.com,No
78,Customer_78,user78@email.com,Yes
79,Customer_79,user79@email.com,Yes
80,Customer_80,,No
81,Customer_81,user81@email.com,No
82,Customer_82,user82@email.com,Yes
83,Customer_83,user83@email.com,Yes
84,Customer_84,user84email.com,Yes
85,Customer_85,user85@email.com,Unknown
86,Customer_86,user86@email.com,Yes
87,Customer_87,user87@email.com,No
88,Customer_88,user88@email.com,No
89,Customer_89,user89@email.com,No
90,Customer_90,user90@email.com,Yes
91,Customer_91,user91@email.com,Yes
92,Customer_92,user92@email.com,Yes
93,Customer_93,user93@email.com,No
94,Customer_94,user94@email.com,Yes
95,Customer_95,user95@email.com,Yes
96,Customer_96,user96email.com,Yes
97,Customer_97,user97@email.com,No
98,Customer_98,user98@email.com,No
99,Customer_99,user99@email.com,Yes
100,Customer_100,,No
101,Customer_101,user101@email.com,No
102,Customer_102,user102@email.com,Unknown
103,Customer_103,user103@email.com,Yes
104,Customer_104,user104@email.com,Yes
105,Customer_105,user105@email.com,Yes
106,Customer_106,user106@email.com,Yes
107,Customer_107,user107@email.com,Yes
108,Customer_108,user108email.com,Yes
109,Customer_109,user109@email.com,No
110,Customer_110,user110@email.com,Yes
111,Customer_111,user111@email.com,Yes
112,Customer_112,user112@email.com,Yes
113,Customer_113,user113@email.com,Yes
114,Customer_114,user114@email.com,No
115,Customer_115,user115@email.com,Yes
116,Customer_116,user116@email.com,No
117,Customer_117,user117@email.com,No
118,Customer_118,user118@email.com,No
119,Customer_119,user119@email.com,Unknown
120,Customer_120,,Yes
121,Customer_121,user121@email.com,No
122,Customer_122,user122@email.com,Yes
123,Customer_123,user123@email.com,No
124,Customer_124,user124@email.com,Yes
125,Customer_125,user125@email.com,Yes
126,Customer_126,user126@email.com,Yes
127,Customer_127,user127@email.com,Yes
128,Customer_128,user128@email.com,Yes
129,Customer_129,user129@email.com,Yes
130,Customer_130,user130@email.com,No
131,Customer_131,user131@email.com,No
132,Customer_132,user132email.com,Yes
133,Customer_133,user133@email.com,Yes
134,Customer_134,user134@email.com,No
135,Customer_135,user135@email.com,Yes
136,Customer_136,user136@email.com,Unknown
137,Customer_137,user137@email.com,Yes
138,Customer_138,user138@email.com,Yes
139,Customer_139,user139@email.com,No
140,Customer_140,,Yes
141,Customer_141,user141@email.com,Yes
142,Customer_142,user142@email.com,Yes
143,Customer_143,user143@email.com,Yes
144,Customer_144,user144email.com,No
145,Customer_145,user145@email.com,Yes
146,Customer_146,user146@email.com,No
147,Customer_147,user147@email.com,No
148,Customer_148,user148@email.com,Yes
149,Customer_149,user149@email.com,No
150,Customer_150,user150@email.com,Yes
